ecf-112599-minarea,0.432565855856435,1067.5088197356556,2,1
ecf-112599-maxcls,0.47139121888464763,805.5787862826478,1,2
ecf-112599-base,0.3918518842088195,409.3726267615245,2,0
ecf-119206-minarea,0.4082935102912284,348.6331303161886,1,2
ecf-119206-maxcls,0.4037165728910379,275.054741886513,1,1
ecf-119206-base,0.37316358620868006,428.5205279684543,1,0
ecf-172958-minarea,0.40088705879677944,2584.497093388242,1,2
ecf-172958-maxcls,0.4115824244121944,965.7689294421778,1,1
ecf-172958-base,0.33552020670099636,495.8210468389236,6,0
ecf-183492-minarea,0.5081875447954669,1424.4855488286346,331,2
ecf-183492-maxcls,0.5850743905498982,133.04165811998138,449,1
ecf-183492-base,0.5157704261554906,590.1834318666935,2184,0
ecf-192574-minarea,0.47236050987314565,614.0805222385194,15,0
ecf-192574-maxcls,0.46859367995133566,744.2841856383151,8,1
ecf-192574-base,0.3833782416622532,313.6857379306322,4,2
ecf-192756-minarea,0.4315888329801403,69.61618043408592,5,1
ecf-192756-maxcls,0.4177610710983908,422.9601591003359,4,2
ecf-192756-base,0.36224263458535555,393.6963577476838,12,0
ecf-192762-minarea,0.41993919412086406,64.79376134483687,2,1
ecf-192762-maxcls,0.4416316403615973,322.14881384842136,3,0
ecf-192762-base,0.35894548567734824,277.09896479718515,1,2
ecf-193136-minarea,0.3422425502115353,1490.9838560406472,19,1
ecf-193136-maxcls,0.3255734903035058,43.366426731916974,14,2
ecf-193136-base,0.2563742300509111,129.3380326456383,20,0
ecf-193415-minarea,0.45977833452386735,535.9267548216128,1,2
ecf-193415-maxcls,0.4529721002157359,1314.1139477012223,1,1
ecf-193415-base,0.3851580161362103,1213.5924484680527,2,0
ecf-194101-minarea,0.4424157530948754,1247.1874503632666,6,2
ecf-194101-maxcls,0.4474850612871439,1072.0619451266193,14,1
ecf-194101-base,0.3925144007161007,348.87568225060494,14,0
ecf-194975-minarea,0.32708331421345016,4449.99094581285,40,2
ecf-194975-maxcls,0.31748678629263555,1802.3118381879156,121,0
ecf-194975-base,0.2823154490539861,716.5380196645203,68,1
ecf-194981-minarea,0.43543099599625157,4537.439289877703,1,2
ecf-194981-maxcls,0.43260991557471135,1194.2166969943567,1,1
ecf-194981-base,0.375171141552919,22.463055293191868,1,0
ecf-195770-minarea,0.4783682027270681,103.20221428779224,2,1
ecf-195770-maxcls,0.47943336888209165,650.7397471143476,5,0
ecf-195770-base,0.40843028127148234,356.6955140223644,1,2
ecf-196007-minarea,0.44311824894278773,1288.8617686872888,23,2
ecf-196007-maxcls,0.4503352554801776,645.862799120586,26,1
ecf-196007-base,0.3643508383402453,60.546212568934365,90,0
ecf-196298-minarea,0.3509656471139275,4445.772403563125,1,2
ecf-196298-maxcls,0.336927699582289,2333.329476253308,1,1
ecf-196298-base,0.2996502199857829,220.40918562756875,1,0
ecf-196541-minarea,0.3828759883432262,412.2743821713288,7,1
ecf-196541-maxcls,0.3716464518232124,61.1409169593759,10,0
ecf-196541-base,0.31363987017572953,44.69694794444249,4,2
